institution_id,name,acronym,region,city,organization_type
33,Universidad de Castilla-La Mancha,UCLM,CASTILLA-LA MANCHA,CIUDAD REAL,University
34,Universidad de Cordoba,UCO,ANDALUCÍA,CORDOBA,University
35,Universidad Complutense de Madrid,UCM,COMUNIDAD DE MADRID,MADRID,University
36,Universidad Politécnica de Madrid,UPM,COMUNIDAD DE MADRID,MADRID,University
37,Universidad de Sevilla,US,ANDALUCÍA,SEVILLA,University
38,Universidad Rovira i Virgili​,URV,CATALUÑA,TARRAGONA,University
39,Mondragon Unibertsitatea,MUN,PAÍS VASCO,GUIPÚZCOA,University
40,Universidad de Granada,UGR,ANDALUCÍA,GRANADA,University
41,Universidad de León,UNILEON,CASTILLA Y LEON,LEON,University
42,Universidad Miguel Hernández,UMH,COMUNIDAD VALENCIANA,ALICANTE,University
43,Universidad de Cantabria,UNICAN,CANTABRIA,CANTABRIA,University
44,Universidade de Vigo,UVIGO,GALICIA,PONTEVEDRA,University
45,Universidad Europea de Madrid,CEU,COMUNIDAD DE MADRID,MADRID,University
46,Universidad CEU Cardenal Herrera,UCHCEU,COMUNIDAD VALENCIANA,VALENCIA,University
47,Universitat Politècnica de València,UPV,COMUNIDAD VALENCIANA,VALENCIA,University
48,Universidad de Valencia,UV,COMUNIDAD VALENCIANA,VALENCIA,University
49,Universidad de Almería,UAL,ANDALUCÍA,ALMERIA,University
50,Universidad Carlos III de Madrid,UC3M,MADRID,MADRID,University
51,Universitat Internacional de Catalunya,UIC,CATALUÑA,BARCELONA,University
52,Universitat Jaume I,UJI,COMUNIDAD VALENCIANA,CASTELLÓN,University
53,Universidad de Burgos,UBU,CASTILLA Y LEON,BURGOS,University
54,Universidad Alfonso X el Sabio,UAX,COMUNIDAD DE MADRID,MADRID,University
55,IE University,IE,CASTILLA Y LEON,SEGOVIA,University
56,Universidad Pablo de Olavide,UPO,ANDALUCÍA,SEVILLA,University
57,Universidad de La Rioja,UNIR,LA RIOJA,LA RIOJA,University
58,Universitat Oberta de Catalunya,UOC,CATALUÑA,BARCELONA,University
59,Universidad de Las Palmas de Gran Canaria,ULPGC,ISLAS CANARIAS,LAS PALMAS,University
60,Universidad de Navarra,UNAV,NAVARRA,NAVARRA,University
61,Universidad Nebrija,NEBRIJA,COMUNIDAD DE MADRID,MADRID,University
62,Universidad de Vic,UVIC,CATALUÑA,BARCELONA,University
63,Hospital Universitario Puerto Real,HUPR,ANDALUCÍA,CADIZ,Hospital
64,Consorcio Hospital General Universitari de València,CHGUV,COMUNIDAD VALENCIANA,VALENCIA,Hospital
65,Hospital Sant Joan de Déu Barcelona,SJD,CATALUÑA,BARCELONA,Hospital
66,Hospital Universitario Nuestra Senora de Candelaria,CHUNSC,ISLAS CANARIAS,SANTA CRUZ DE TENERIFE,Hospital
67,Universidad Católica de Ávila,UCAVILA,CASTILLA Y LEON,AVILA,University
68,Universidad Francisco de Vitoria,UFV,COMUNIDAD DE MADRID,MADRID,University
69,Hospital Clínico Universitario Virgen de la Arrixaca,HCUVA,MURCIA,MURCIA,Hospital
70,Hospital Universitario de Valme,HUValme,ANDALUCÍA,SEVILLA,Hospital
71,Hospital Universitario Central de Asturias,HCA,ASTURIAS,ASTURIAS,Hospital
72,Hospital Universitario Miguel Servet,HUMS,ARAGÓN,ZARAGOZA,Hospital
73,Hospital Infanta Cristina de Badajoz,HIC,EXTREMADURA,BADAJOZ,Hospital
74,Complejo Hospitalario Universitario de Vigo,CHUVI,GALICIA,PONTEVEDRA,Hospital
75,Hospital Universitario Virgen de las Nieves,HVN,ANDALUCÍA,GRANADA,Hospital
76,Hospital Universitari de Girona Doctor Josep Trueta,HUGDJT,CATALUÑA,GIRONA,Hospital
77,Hospital Universitario Donostia,HUDonostia,PAÍS VASCO,GUIPÚZCOA,Hospital
78,Hospital Universitario La Paz,HULP,COMUNIDAD DE MADRID,MADRID,Hospital
79,Hospital Universitario Reina Sofía de Cordoba,HURS,ANDALUCÍA,CORDOBA,Hospital
80,Hospital Clínico Universitario Lozano Blesa,HCUZ,ARAGÓN,ZARAGOZA,Hospital
81,Hospital Universitario Virgen de la Victoria,HUVV,ANDALUCÍA,MALAGA,Hospital
82,Hospital Universitari Arnau de Vilanova,HUAV,CATALUÑA,LLEIDA,Hospital
83,Hospital Santa Creu y Sant Pau,HSCSP,CATALUÑA,BARCELONA,Hospital
84,Hospital del Mar,HdM,CATALUÑA,BARCELONA,Hospital
85,Universidad a Distancia de Madrid (UDIMA),UDIMA,COMUNIDAD DE MADRID,MADRID,University
86,Hospital Clínico San Carlos,HCSC,COMUNIDAD DE MADRID,MADRID,Hospital
87,Hospital Universitari Doctor Peset,HUPeset,COMUNIDAD VALENCIANA,VALENCIA,Hospital
88,Hospital General Universitario de Alicante,HGUA,COMUNIDAD VALENCIANA,ALICANTE,Hospital
89,Hospital Clínico Universitario de Santiago,CHUS,GALICIA,LA CORUÑA,Hospital
90,Hospital Universitario de Badajoz,HUBada,EXTREMADURA,BADAJOZ,Hospital
91,Hospital Regional Universitario de Málaga,HRUM,ANDALUCÍA,MALAGA,Hospital
92,Instituto Catalán de Oncología,ICO,CATALUÑA,BARCELONA,Hospital
93,Miguel de Cervantes European University,UEMC,CASTILLA Y LEON,VALLADOLID,University
94,Universidad Isabel I,UI1,CASTILLA Y LEON,BURGOS,University
95,Universidad Loyola Andalucía,ULOYOLA,ANDALUCÍA,SEVILLA,University
96,Hospital Universitario Puerta de Hierro Majadahonda,HUPHM,COMUNIDAD DE MADRID,MADRID,Hospital
97,Hospital Infantil Universitario Niño Jesús,HIUNJ,COMUNIDAD DE MADRID,MADRID,Hospital
